"STATISTIC","Statistic Label","TLIST(A1)","Year","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPA06C01","Residential Property Price Index","2013","2013","-","National - all residential properties","Base Jan 2005 = 100","61.6"
"HPA06C01","Residential Property Price Index","2013","2013","01","National - houses","Base Jan 2005 = 100","64.1"
"HPA06C01","Residential Property Price Index","2013","2013","02","National - apartments","Base Jan 2005 = 100","47.5"
"HPA06C01","Residential Property Price Index","2013","2013","05","Dublin - all residential properties","Base Jan 2005 = 100","61.8"
"HPA06C01","Residential Property Price Index","2013","2013","06","Dublin - houses","Base Jan 2005 = 100","65.8"
"HPA06C01","Residential Property Price Index","2013","2013","07","Dublin - apartments","Base Jan 2005 = 100","49.4"
"HPA06C01","Residential Property Price Index","2013","2013","08","Dublin City - houses","Base Jan 2005 = 100","62.3"
"HPA06C01","Residential Property Price Index","2013","2013","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","68.9"
"HPA06C01","Residential Property Price Index","2013","2013","10","Fingal - houses","Base Jan 2005 = 100","63.3"
"HPA06C01","Residential Property Price Index","2013","2013","11","South Dublin - houses","Base Jan 2005 = 100","66.6"
"HPA06C01","Residential Property Price Index","2013","2013","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","57.7"
"HPA06C01","Residential Property Price Index","2013","2013","04","National excluding Dublin - houses","Base Jan 2005 = 100","59"
"HPA06C01","Residential Property Price Index","2013","2013","12","National excluding Dublin - apartments","Base Jan 2005 = 100","41.4"
"HPA06C01","Residential Property Price Index","2013","2013","13","Border excluding Louth - houses","Base Jan 2005 = 100","50.3"
"HPA06C01","Residential Property Price Index","2013","2013","14","Midland - houses","Base Jan 2005 = 100","50.4"
"HPA06C01","Residential Property Price Index","2013","2013","15","West - houses","Base Jan 2005 = 100","58.9"
"HPA06C01","Residential Property Price Index","2013","2013","16","Mid-East including Louth - houses","Base Jan 2005 = 100","62.6"
"HPA06C01","Residential Property Price Index","2013","2013","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","56.1"
"HPA06C01","Residential Property Price Index","2013","2013","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","54.2"
"HPA06C01","Residential Property Price Index","2013","2013","19","South-West - houses","Base Jan 2005 = 100","62.7"
"HPA06C01","Residential Property Price Index","2014","2014","-","National - all residential properties","Base Jan 2005 = 100","71.8"
"HPA06C01","Residential Property Price Index","2014","2014","01","National - houses","Base Jan 2005 = 100","74.3"
"HPA06C01","Residential Property Price Index","2014","2014","02","National - apartments","Base Jan 2005 = 100","57.3"
"HPA06C01","Residential Property Price Index","2014","2014","05","Dublin - all residential properties","Base Jan 2005 = 100","76.7"
"HPA06C01","Residential Property Price Index","2014","2014","06","Dublin - houses","Base Jan 2005 = 100","81.4"
"HPA06C01","Residential Property Price Index","2014","2014","07","Dublin - apartments","Base Jan 2005 = 100","62.2"
"HPA06C01","Residential Property Price Index","2014","2014","08","Dublin City - houses","Base Jan 2005 = 100","80.5"
"HPA06C01","Residential Property Price Index","2014","2014","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","83.6"
"HPA06C01","Residential Property Price Index","2014","2014","10","Fingal - houses","Base Jan 2005 = 100","74.5"
"HPA06C01","Residential Property Price Index","2014","2014","11","South Dublin - houses","Base Jan 2005 = 100","82.5"
"HPA06C01","Residential Property Price Index","2014","2014","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","62.2"
"HPA06C01","Residential Property Price Index","2014","2014","04","National excluding Dublin - houses","Base Jan 2005 = 100","63.6"
"HPA06C01","Residential Property Price Index","2014","2014","12","National excluding Dublin - apartments","Base Jan 2005 = 100","44"
"HPA06C01","Residential Property Price Index","2014","2014","13","Border excluding Louth - houses","Base Jan 2005 = 100","50.6"
"HPA06C01","Residential Property Price Index","2014","2014","14","Midland - houses","Base Jan 2005 = 100","53.3"
"HPA06C01","Residential Property Price Index","2014","2014","15","West - houses","Base Jan 2005 = 100","60.4"
"HPA06C01","Residential Property Price Index","2014","2014","16","Mid-East including Louth - houses","Base Jan 2005 = 100","71.4"
"HPA06C01","Residential Property Price Index","2014","2014","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","57.1"
"HPA06C01","Residential Property Price Index","2014","2014","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","59.3"
"HPA06C01","Residential Property Price Index","2014","2014","19","South-West - houses","Base Jan 2005 = 100","67.7"
"HPA06C01","Residential Property Price Index","2015","2015","-","National - all residential properties","Base Jan 2005 = 100","80.1"
"HPA06C01","Residential Property Price Index","2015","2015","01","National - houses","Base Jan 2005 = 100","82.8"
"HPA06C01","Residential Property Price Index","2015","2015","02","National - apartments","Base Jan 2005 = 100","65.2"
"HPA06C01","Residential Property Price Index","2015","2015","05","Dublin - all residential properties","Base Jan 2005 = 100","84.4"
"HPA06C01","Residential Property Price Index","2015","2015","06","Dublin - houses","Base Jan 2005 = 100","89.3"
"HPA06C01","Residential Property Price Index","2015","2015","07","Dublin - apartments","Base Jan 2005 = 100","69.5"
"HPA06C01","Residential Property Price Index","2015","2015","08","Dublin City - houses","Base Jan 2005 = 100","90.1"
"HPA06C01","Residential Property Price Index","2015","2015","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","89.1"
"HPA06C01","Residential Property Price Index","2015","2015","10","Fingal - houses","Base Jan 2005 = 100","85.9"
"HPA06C01","Residential Property Price Index","2015","2015","11","South Dublin - houses","Base Jan 2005 = 100","90.8"
"HPA06C01","Residential Property Price Index","2015","2015","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","70.4"
"HPA06C01","Residential Property Price Index","2015","2015","04","National excluding Dublin - houses","Base Jan 2005 = 100","72"
"HPA06C01","Residential Property Price Index","2015","2015","12","National excluding Dublin - apartments","Base Jan 2005 = 100","49.9"
"HPA06C01","Residential Property Price Index","2015","2015","13","Border excluding Louth - houses","Base Jan 2005 = 100","56.2"
"HPA06C01","Residential Property Price Index","2015","2015","14","Midland - houses","Base Jan 2005 = 100","60.7"
"HPA06C01","Residential Property Price Index","2015","2015","15","West - houses","Base Jan 2005 = 100","62.9"
"HPA06C01","Residential Property Price Index","2015","2015","16","Mid-East including Louth - houses","Base Jan 2005 = 100","84.6"
"HPA06C01","Residential Property Price Index","2015","2015","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","63.4"
"HPA06C01","Residential Property Price Index","2015","2015","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","69.2"
"HPA06C01","Residential Property Price Index","2015","2015","19","South-West - houses","Base Jan 2005 = 100","77"
"HPA06C01","Residential Property Price Index","2016","2016","-","National - all residential properties","Base Jan 2005 = 100","86"
